county,year,Med_HU_value,Inc_HH_Median
Austin,2015,157000,53687
Austin,2016,164300,56681
Austin,2017,175200,62614
Austin,2018,188900,65365
Brazoria,2015,152900,69749
Brazoria,2016,157100,72006
Brazoria,2017,164300,76426
Brazoria,2018,173900,79270
Chambers,2015,151200,70544
Chambers,2016,158700,70396
Chambers,2017,171500,74368
Chambers,2018,185700,76850
Colorado,2015,109800,46618
Colorado,2016,106200,45398
Colorado,2017,116700,50241
Colorado,2018,116300,49504
Fort Bend,2015,200200,89152
Fort Bend,2016,217600,91152
Fort Bend,2017,233300,93645
Fort Bend,2018,251100,95561
Galveston,2015,155000,62313
Galveston,2016,161100,63064
Galveston,2017,171600,65702
Galveston,2018,185100,69369
Harris,2015,137800,54457
Harris,2016,145600,55584
Harris,2017,154100,57791
Harris,2018,165300,60146
Liberty,2015,87900,48729
Liberty,2016,89100,49655
Liberty,2017,93200,48344
Liberty,2018,101200,49850
Matagorda,2015,93700,40797
Matagorda,2016,98700,41253
Matagorda,2017,102200,44896
Matagorda,2018,107500,45500
Montgomery,2015,176900,68838
Montgomery,2016,190000,70805
Montgomery,2017,206400,74323
Montgomery,2018,223900,77416
Walker,2015,116100,37666
Walker,2016,123600,40090
Walker,2017,132200,41456
Walker,2018,149100,41855
Waller,2015,144200,51348
Waller,2016,153800,53508
Waller,2017,157600,53506
Waller,2018,174900,57654
Wharton,2015,102300,45176
Wharton,2016,107000,46445
Wharton,2017,115700,50145
Wharton,2018,122900,49619
